1. 과일원료 DB,,,,,,,,,,
과일군명,원료명,가공방법,당도,pH,단가,비중,산도,원산지,색상,공급중량
산출근거: 내부 원료군 분류체계(감귤/베리/열대 등) + 제품군(주스/퓨레/농축) 정의는 Codex CXS 247-2005 및 AIJN CoP 용어에 정합,,Codex CXS 247-2005(주스/농축주스/퓨레/농축퓨레 정의) + AIJN Code of Practice(업계 품질·진정성 기준 용어),ISO 2173(굴절계법 soluble solids) 결과를 관행적으로 °Bx(수크로스 환산)로 표기; 농축은 원주스 대비 Brix 상승 개념(Codex),"유리수소이온활동도 측정(유리전극 pH meter, 표준완충액 교정/온도보정); QC 기본 항목(주스/퓨레 공통)",구매 견적/계약서 기준 원/kg(또는 CIF/FOB 등 조건에 따른 포함비용 정의) + 포장단위·물류·검사비 반영 여부를 별도 관리,"비중=시료밀도/물밀도(20°C 기준); 밀도계/피크노미터 실측 또는 °Bx-밀도 환산표(수용액 기반, 참고용)로 추정","ISO 750(적정산도, potentiometric 또는 지시약법) 결과를 통상 % (citric acid eq)로 환산 표기; 품질·배합 계산 핵심",COA/원산지증명/추적성 문서(로트·국가·지역) 기반; 규제·라벨링·리스크 관리 목적,색차계 CIE L*a*b* 또는 흡광도/색지수로 관리(주스·퓨레 품질지표); AIJN RG에서 색 관련 파라미터를 참고하는 경우가 많음,포장 규격(드럼/IBC/백인박스 등) 및 실중량(kg) 기준; 발주·재고·배합 원가 산출의 기본 단위
열대과일(Tropical) , 타마린드 농축액 (무가당),농축액,60.3,2.59,7260,1.234,5.96,인도,갈색,220
열대과일(Tropical) , 구아바 퓨레 (무첨가),퓨레,9,3.46,6450,1.025,0.82,베트남,연분홍,200
베리류(Berries) , 아사이 NFC (산지혼합),NFC,8.9,4.77,8400,1.01,0.2,브라질,자주,1000
감귤류(Citrus) , 레몬 주스 (일반),주스,7,2.38,3920,1.011,2.68,스페인,연금색,25
박과류(Melons) , 수박 냉동농축액 (무가당),냉동농축액,67.3,5.46,5070,1.256,0.2,중국,코랄,250
박과류(Melons) , 수박 NFC (무첨가),NFC,14.7,5.41,3400,1.037,0.04,중국,연적색,1000
베리류(Berries) , 블랙베리 무균퓨레 (프리미엄),무균퓨레,11.3,2.93,7290,1.036,1.26,미국,딥퍼플,240
감귤류(Citrus) , 포멜로 퓨레 (유기농),퓨레,15.8,3.19,7610,1.049,1.12,중국,연노랑,240
베리류(Berries) , 블루베리 무균퓨레 (프리미엄),무균퓨레,13.2,3.13,10000,1.045,0.91,캐나다,인디고,1000
기타(Other) , 대추야자 농축액 (산지혼합),농축액,70.3,4.96,10130,1.267,0.36,이란,호박색,240
베리류(Berries) , 비트베리(링곤베리) 농축액 (저펄프),농축액,68.2,2.62,8040,1.258,4.38,스웨덴,버건디,20
열대과일(Tropical) , 구아바 냉동농축액 (일반),냉동농축액,64.1,3.29,8580,1.242,1.85,태국,연로즈,1200
열대과일(Tropical) , 람부탄 NFC (프리미엄),NFC,12,4.11,13760,1.03,0.2,태국,연금색,25
기타(Other) , 석류 주스 (단일산지),주스,8.6,3.58,13480,1.009,1.44,터키,버건디,1200
핵과류(Stone) , 천도복숭아 냉동농축액 (무가당),냉동농축액,69.1,3.6,6710,1.265,1.34,중국,진주황,25
베리류(Berries) , 딸기 농축액 (산지혼합),농축액,64.1,3.36,7460,1.246,1.24,대한민국,선홍,25
베리류(Berries) , 블루베리 NFC (무첨가),NFC,11.1,3.11,9220,1.027,0.59,페루,남보라,1000
감귤류(Citrus) , 칼라만시 농축액 (고펄프),농축액,61.2,2.44,8310,1.235,4.48,필리핀,연노랑,900
기타(Other) , 아보카도 농축액 (일반),농축액,63,6.07,13590,1.238,0.09,페루,그린,25
열대과일(Tropical) , 노니 퓨레 (유기농),퓨레,17.5,4.47,8130,1.06,0.95,타히티,베이지,20
핵과류(Stone) , 살구 농축액 (저펄프),농축액,71.8,3.04,10770,1.279,2.06,스페인,주황,220
감귤류(Citrus) , 포멜로 농축액 (프리미엄),농축액,67,3.21,7600,1.255,1.26,태국,연노랑,1200
베리류(Berries) , 엘더베리 냉동농축액 (단일산지),냉동농축액,58.8,3.12,12910,1.225,1.96,오스트리아,블랙퍼플,1400
열대과일(Tropical) , 파파야 NFC (클래식),NFC,16.5,4.48,7400,1.04,0.23,태국,피치,240
베리류(Berries) , 구기자 농축액 (고펄프),농축액,60.1,3.91,6590,1.229,0.69,대한민국,주황적,220
베리류(Berries) , 크랜베리 냉동농축액 (프리미엄),냉동농축액,63.3,2.58,16640,1.242,6,미국,진적색,240
베리류(Berries) , 유월귤(빌베리) 농축액 (프리미엄),농축액,68.9,2.84,13080,1.265,1.98,스웨덴,블루퍼플,20
열대과일(Tropical) , 타마린드 주스 (산지혼합),주스,7,2.44,13750,1.003,2.17,태국,호박색,900
인과류(Pome) , 사과 농축액 (고펄프),농축액,60.9,3.77,3320,1.233,0.99,중국,연노랑,240
기타(Other) , 키위 농축액 (유기농),농축액,70.8,3.19,8130,1.274,1.87,이탈리아,연녹,200
베리류(Berries) , 유월귤(빌베리) 주스 (프리미엄),주스,7,3.17,9990,1.011,1.27,핀란드,블루퍼플,200
핵과류(Stone) , 살구 농축액 (무첨가),농축액,70.3,3.01,5420,1.271,1.99,터키,황주황,220
베리류(Berries) , 아사이 NFC (저펄프),NFC,15.5,4.77,12530,1.04,0.18,브라질,자주,25
감귤류(Citrus) , 베르가못 퓨레 (산지혼합),퓨레,10,2.59,6650,1.028,1.37,튀니지,올리브,1400
감귤류(Citrus) , 레몬 주스 (프리미엄),주스,7,2.31,4600,1.006,1.86,스페인,담황,900
박과류(Melons) , 수박 NFC (무첨가),NFC,13.9,5.4,3330,1.037,0.04,베트남,코랄,250
박과류(Melons) , 칸탈루프 NFC (저펄프),NFC,13.3,5.39,4010,1.029,0.09,미국,황주황,1400
핵과류(Stone) , 체리 퓨레 (클래식),퓨레,17.5,3.41,7730,1.06,0.45,칠레,버건디,1000
박과류(Melons) , 멜론 냉동농축액 (무가당),냉동농축액,64.1,5.85,4490,1.243,0.19,스페인,연초록,25
박과류(Melons) , 멜론 NFC (단일산지),NFC,10,5.4,3240,1.016,0.03,일본,연초록,900
감귤류(Citrus) , 칼라만시 무균퓨레 (유기농),무균퓨레,9,2.55,3700,1.026,1.87,필리핀,담황,220
기타(Other) , 아보카도 무균퓨레 (단일산지),무균퓨레,16.5,6.04,10660,1.056,0.04,케냐,그린,1200
베리류(Berries) , 구기자 주스 (저펄프),주스,10.4,4.08,8180,1.023,0.6,중국,주황적,1000
기타(Other) , 대추야자 냉동농축액 (고펄프),냉동농축액,68.1,5.02,11850,1.259,0.26,사우디아라비아,다크브라운,250
열대과일(Tropical) , 리치 농축액 (무첨가),농축액,61.7,3.88,9900,1.234,0.74,베트남,연노랑,220
핵과류(Stone) , 살구 퓨레 (무첨가),퓨레,15.6,3.01,6860,1.05,1.49,이란,진주황,900
열대과일(Tropical) , 리치 무균퓨레 (유기농),무균퓨레,18,4.44,8450,1.059,0.55,베트남,담황,900
베리류(Berries) , 블랙커런트 주스 (유기농),주스,7,3.39,12300,1.011,2.05,폴란드,자홍,900
